,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.4039998531341553,0.12557756495422961,0.006240034103393554,0.007642449765811762,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 2}",0.7307030319078511,0.730667372881356,0.7307641372003708,0.7307641372003708,0.7307641372003708,0.7307325599872875,4.028095447578355e-05,533,0.7307399437179275,0.7307488578428127,0.7307246664680372,0.7307246664680372,0.7307246664680372,0.7307325601929703,1.0070377462007993e-05
1,2.5365599155426026,0.24379963255239023,0.009360027313232423,0.007642430300627835,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 3}",0.8216602674433999,0.819385593220339,0.8251887167262614,0.8153886902397034,0.8311481922924115,0.8225541607076646,0.005347359669994757,532,0.8220824366826684,0.8231146129907966,0.82222663621015,0.8248088191478796,0.8202072367332075,0.8224879483529405,0.0014975659623684262
2,2.8953600883483888,1.3052120400621379,0.01247997283935547,0.006239986419677735,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 4}",0.7840593141797961,0.830905720338983,0.943053900145676,0.8270427757912859,0.8078400211892465,0.8385772551512263,0.05481578365384464,480,0.7853997682502897,0.8355955770376746,0.9361075247459199,0.8331512563313139,0.7955771840964015,0.8371662620923199,0.05332425727853691
3,4.227600002288819,0.9974733520553577,0.015599966049194336,1.5078914929239175e-07,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}",0.8211306765523633,0.9368379237288136,0.8228049264998013,0.8184346444179579,0.8361806383260495,0.8470787647650829,0.04529660925781773,435,0.8229432213209733,0.937297225716745,0.8211672791074917,0.8257357566127057,0.8242460356870924,0.8462779036890016,0.045534494319445507
4,4.034160089492798,0.46889354880609396,0.015599918365478516,1.784161275279017e-07,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 6}",0.8172911425923474,0.8285222457627118,0.8233346576612369,0.9312673818037346,0.8390941597139452,0.8478997828274802,0.04229209380493634,430,0.8202615461016388,0.8328808845924651,0.8204058661899559,0.9328632436190287,0.8288145131923064,0.8470452107390789,0.043185045108304426
5,5.628480100631714,0.823786320059209,0.018720054626464845,0.006239938736872875,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 7}",0.8252350059578976,0.8477224576271186,0.8016156800423785,0.8143292279168322,0.8304860283406171,0.8238783833889507,0.015497328583714429,529,0.8266843237874524,0.8516188836654969,0.8022643758069322,0.8238156718641374,0.8201410269142914,0.824904856407662,0.015832103541424083
6,6.477120113372803,1.4157169759134278,0.015600013732910156,1.784161275279017e-07,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 8}",0.8199390970475308,0.8224311440677966,0.9176268043967687,0.8192292411601112,0.9180241027678453,0.8594470046082949,0.04767467795136596,351,0.8230756497268664,0.8254982453817122,0.9112457377429073,0.826364749892409,0.9183301883669348,0.860902914222166,0.04406715104453152
7,6.901439905166626,1.18845364661951,0.018720054626464845,0.006240057945934672,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 9}",0.8109360518999074,0.8536811440677966,0.8891537544696066,0.8822672493709443,0.8560455568798835,0.8584141109168918,0.02755493919550418,361,0.8145340175467638,0.8582400847513739,0.8862846360115205,0.8876419372993015,0.8472539477604529,0.8587909246738825,0.027130662291986532
8,9.55656008720398,2.805166378282342,0.028079986572265625,0.0062400102622188576,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 10}",0.8392691645703694,0.8003177966101694,0.8345914448417429,0.8549860945570124,0.8578996159449079,0.8374119391916944,0.020571780310995352,490,0.8426419466975666,0.8051711580480699,0.8330188366934816,0.8595358691693978,0.8451352335551362,0.8371006088327304,0.01808177655731321
9,23.68080015182495,7.1981787717362,0.04992003440856933,0.006239914894787228,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 15}",0.9030848669402887,0.8147510593220338,0.808369752350682,0.9070321811680572,0.8277049397430803,0.8521902643148472,0.04363364336387471,399,0.9068035093527562,0.8190094683175528,0.8046148243784553,0.9116429966564041,0.8292448770152614,0.854263135144086,0.04557768852312993
10,29.296800279617308,9.037299736304941,0.06551995277404785,0.011673856432457838,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 20}",0.9132794915927446,0.8342161016949152,0.857767183154549,0.9129916567342073,0.8258508806780559,0.8688225011918004,0.03766653640524695,279,0.9166032113888429,0.8388730715751838,0.8524514185453703,0.9151521170589598,0.816300857417155,0.8678761351971023,0.04086185330236596
