,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.25584001541137696,0.05367840947347924,0.0,0.0,0.1,"(25,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,)}",0.8901098901098901,0.9005524861878453,0.8941504178272981,0.9467787114845938,0.8760563380281691,0.9015025041736227,0.023925639098720277,19,0.939288206559665,0.975609756097561,0.9575799721835884,0.9805555555555555,0.9687933425797504,0.9643653665952241,0.014717819253826562
1,0.28080010414123535,0.08371838947056581,0.003119945526123047,0.006239891052246094,0.1,"(50,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,)}",0.9313186813186813,0.8950276243093923,0.9415041782729805,0.9439775910364145,0.828169014084507,0.9081803005008348,0.04340978275569965,13,0.9762735519888346,0.9825783972125436,0.9888734353268428,0.9847222222222223,0.926490984743412,0.971787718298771,0.023011208765335883
2,0.30887999534606936,0.050693989098899016,0.0,0.0,0.1,"(25, 25)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25)}",0.9203296703296703,0.8646408839779005,0.9331476323119777,0.927170868347339,0.8676056338028169,0.902615470228158,0.030037011061354892,18,0.9609211444521982,0.9644599303135889,0.9770514603616134,0.9770833333333333,0.9528432732316228,0.9664718283384712,0.00943533774243762
3,0.3837600231170654,0.06363575595895608,0.006239938735961914,0.007642332965038968,0.1,"(50, 50)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",0.9258241758241759,0.9088397790055248,0.9387186629526463,0.9327731092436975,0.8732394366197183,0.9159710628825821,0.023454157160593684,9,0.9776692254012561,0.9965156794425087,0.9944367176634215,0.9930555555555556,0.9909847434119279,0.990532384294934,0.006679453848638145
4,0.37440013885498047,0.0600143296351734,0.003119945526123047,0.006239891052246094,0.1,"(100, 100)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 100)}",0.9010989010989011,0.8950276243093923,0.9415041782729805,0.9663865546218487,0.8985915492957747,0.9204229271007234,0.02842896465400244,5,0.9790648988136776,0.997212543554007,0.9840055632823366,0.9972222222222222,0.9902912621359223,0.9895592980016332,0.007194508047640065
5,0.4024799823760986,0.12611891190509728,0.0,0.0,0.1,"(25, 25, 25)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25)}",0.9230769230769231,0.8701657458563536,0.947075208913649,0.9411764705882353,0.8394366197183099,0.904284919309961,0.0421067359079635,17,0.9909281228192603,0.9616724738675958,0.9937413073713491,0.9923611111111111,0.9604715672676838,0.9798349164874001,0.015350349186985059
6,0.49920001029968264,0.078930457680946,0.0,0.0,0.1,"(100, 25, 100)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100)}",0.9423076923076923,0.9171270718232044,0.9526462395543176,0.9467787114845938,0.9154929577464789,0.9348914858096828,0.015495162753374765,1,0.9916259595254711,0.997212543554007,0.9923504867872045,0.9930555555555556,0.9972260748959778,0.9942941240636431,0.0024308182910004112
7,0.22776002883911134,0.03502186665697289,0.0,0.0,0.01,"(25,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,)}",0.8901098901098901,0.9005524861878453,0.8913649025069638,0.9439775910364145,0.8788732394366198,0.900946021146355,0.022500532889486637,20,0.9385903698534543,0.975609756097561,0.9568845618915159,0.96875,0.9687933425797504,0.9617256060844562,0.013044075244924801
8,0.28703994750976564,0.052763974392385136,0.0,0.0,0.01,"(50,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,)}",0.9313186813186813,0.8922651933701657,0.9415041782729805,0.9439775910364145,0.828169014084507,0.907623817473567,0.04359214715515228,14,0.9762735519888346,0.9825783972125436,0.9888734353268428,0.9840277777777777,0.926490984743412,0.971648829409882,0.022934689262756172
9,0.31200008392333983,0.07182772059199846,0.0,0.0,0.01,"(25, 25)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25)}",0.9038461538461539,0.861878453038674,0.9303621169916435,0.9299719887955182,0.8647887323943662,0.8981636060100167,0.029998980354359602,26,0.9560362875087229,0.9637630662020906,0.972183588317107,0.9784722222222222,0.9528432732316228,0.9646596874963531,0.009614466207560238
10,0.402679967880249,0.07327562650198453,0.0,0.0,0.01,"(50, 50)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50)}",0.9258241758241759,0.9060773480662984,0.935933147632312,0.9327731092436975,0.8788732394366198,0.9159710628825821,0.02114135588238365,9,0.9776692254012561,0.9958188153310105,0.9951321279554938,0.9930555555555556,0.9909847434119279,0.9905320935310487,0.006650351466268422
11,0.39935998916625975,0.05367856190921006,0.0,0.0,0.01,"(100, 100)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 100)}",0.9010989010989011,0.8922651933701657,0.9415041782729805,0.9607843137254902,0.8985915492957747,0.9187534780189204,0.027187193980681496,6,0.9790648988136776,0.997212543554007,0.9847009735744089,0.9972222222222222,0.9902912621359223,0.9896983800600477,0.007091789027470684
