,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.5368000507354735,0.03523290602024338,0.0033999919891357423,0.000489959811837595,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.9198993777307031,0.9213453389830508,0.9263673685604555,0.9253079062375844,0.92345384717256,0.9232745378462842,0.002401960562402563,558,0.9252772719748386,0.9231278553929683,0.9217399940411163,0.923428344423478,0.9231304002383554,0.9233407732141513,0.0011322350387787383
1,2.486199903488159,0.509009421691789,0.004000091552734375,0.0006324850929980568,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 3}",0.9156626506024096,0.9322033898305084,0.9290160243676334,0.9266322341411733,0.9180241027678453,0.9243074315376874,0.0063897730490648985,555,0.9217017050157259,0.9336224591140833,0.9260105273612077,0.9273016188300724,0.919323335650677,0.9255919291943533,0.004939975365186641
2,2.4371999740600585,0.34045522359316466,0.0037999629974365236,0.00040009022824606964,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 4}",0.9193697868396663,0.9316737288135594,0.9357700966759369,0.9325917097073235,0.9323268441266057,0.9303458869643519,0.005668285069255445,525,0.9246813441483198,0.9324968549294842,0.928460290661105,0.933922600721687,0.9301486410434667,0.9299419463008125,0.0032337324835990115
3,4.04040002822876,1.0349038011174974,0.0042000293731689455,0.0007483791930950463,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.9302264001059182,0.9340572033898306,0.9333863064494768,0.9270295325122501,0.9352403655145014,0.9319879230891467,0.0029833615889142623,516,0.9348121171991393,0.9335562471032245,0.9318038865163704,0.9263746813652465,0.9356771609229648,0.9324448186213891,0.0033028706560403825
4,3.5283998966217043,0.4366383467074765,0.0042000293731689455,0.00040004254453151935,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 6}",0.9323447636700649,0.9341896186440678,0.9386836180638326,0.9344457687723481,0.9348430671434247,0.934901212987976,0.0020765010538493158,489,0.9368647574904817,0.9349466993312587,0.9340550203595193,0.9362068394742941,0.935279902009468,0.9354706437330045,0.0009798394781857108
5,3.76759991645813,1.0773356966796928,0.004400014877319336,0.0010198328566057833,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 7}",0.9296968092148815,0.935646186440678,0.9353727983048603,0.9333863064494768,0.9339160376109125,0.9336034747603157,0.0021313310554197376,509,0.9346465816917728,0.9380586638416208,0.9308107392326282,0.9336908663554805,0.9342205449068097,0.9342854792056624,0.0023151205621944754
6,4.545600128173828,0.45839357343503484,0.003799915313720703,0.0007483282192290589,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 8}",0.9425393883225208,0.9454449152542372,0.9396106475963448,0.9447755264203417,0.9431863329360349,0.9431113936119497,0.002039698250777337,391,0.9474921370634001,0.9459047871283851,0.9349157480054292,0.9448141159333929,0.9465355712252127,0.943932471871164,0.004591644052517747
7,5.877200031280518,0.46954554544992955,0.004799890518188477,0.0003999710083007813,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 9}",0.9435985701045942,0.9458421610169492,0.9509998675672097,0.9475566150178785,0.9438484968878295,0.9463689814079136,0.002726178931978697,340,0.9470617447442476,0.9463020591935377,0.9451782699374317,0.946667990863045,0.9470321448670838,0.9464484419210691,0.0006927937631019183
8,6.7096000671386715,0.7502692137092326,0.004999971389770508,0.0006323343038502645,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.9421421951542434,0.9457097457627118,0.9516620315190041,0.9483512117600318,0.9425241689842405,0.9460776524180307,0.0035945451017776564,359,0.9461347459029962,0.9463682712043965,0.9467342006819611,0.9470983546859999,0.9469659350481676,0.9466603015047041,0.0003611797136376945
9,10.901000022888184,0.4669600924510885,0.00540003776550293,0.000489706714496402,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.9445253541639084,0.9445180084745762,0.9533836577936697,0.9463647199046484,0.9415971394517283,0.9460776524180307,0.0039590900669253136,359,0.9479556364840258,0.9448122889492154,0.9491508590724005,0.945310689575264,0.9441520177442315,0.9462762983650274,0.0019324372092587015
