,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.25583996772766116,0.09747192208748799,0.0,0.0,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 2}",0.5851648351648352,0.4585635359116022,0.49303621169916434,0.5154061624649859,0.5014084507042254,0.5108514190317195,0.041887185649497595,358,0.5359385903698535,0.4912891986062718,0.519471488178025,0.5479166666666667,0.5755894590846047,0.5340410805810842,0.02815100930364046
1,0.1998800277709961,0.03720815903282944,0.0,0.0,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 5}",0.7527472527472527,0.7292817679558011,0.7465181058495822,0.7675070028011205,0.6845070422535211,0.7362270450751253,0.028442561020423796,333,0.7969295184926727,0.7672473867595819,0.758692628650904,0.7430555555555556,0.7933425797503467,0.7718535338418122,0.020563723738818387
2,0.20903997421264647,0.07087268908588214,0.0,0.0,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 10}",0.8516483516483516,0.7237569060773481,0.8105849582172702,0.8683473389355743,0.6647887323943662,0.7840845854201447,0.07758943464623606,325,0.8932309839497558,0.8425087108013938,0.8956884561891516,0.8784722222222222,0.782246879334258,0.8584294504993564,0.042563709978529686
3,0.2527200222015381,0.053496928661605686,0.0,0.0,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 15}",0.8214285714285714,0.856353591160221,0.8969359331476323,0.9467787114845938,0.8056338028169014,0.8653311074012242,0.051265165889242056,283,0.8702023726448012,0.9498257839721255,0.9457579972183588,0.9319444444444445,0.9251040221914009,0.9245669240942263,0.028626184928015618
4,0.2152799606323242,0.045641725564151796,0.0,0.0,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 20}",0.8708791208791209,0.850828729281768,0.8913649025069638,0.9187675070028011,0.8507042253521127,0.8764607679465777,0.025878096752593886,275,0.9246336357292394,0.9247386759581881,0.9297635605006954,0.9527777777777777,0.9590846047156727,0.9381996509363149,0.014731634765836402
5,0.2839200496673584,0.07604099245225855,0.0,0.0,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 25}",0.9258241758241759,0.8812154696132597,0.9387186629526463,0.9495798319327731,0.856338028169014,0.9104062326099054,0.035529217155423544,143,0.9658060013956734,0.9721254355400697,0.9673157162726008,0.9388888888888889,0.9466019417475728,0.9581475967689611,0.012979102684341761
6,0.22776002883911134,0.032122444337506335,0.0,0.0,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 30}",0.8846153846153846,0.8977900552486188,0.8467966573816156,0.957983193277311,0.8760563380281691,0.89259877573734,0.03661712587024006,245,0.958827634333566,0.9707317073170731,0.9165507649513213,0.9513888888888888,0.9583911234396671,0.9511780237861032,0.01839556145526404
7,0.24647998809814453,0.04873590075421236,0.0,0.0,0.1,"(25,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 35}",0.9065934065934066,0.8867403314917127,0.9415041782729805,0.9551820728291317,0.847887323943662,0.907623817473567,0.03836247386243041,154,0.9316120027913468,0.9693379790940767,0.9763560500695411,0.9729166666666667,0.9542302357836339,0.9608905868810531,0.016472773566609644
8,0.22151999473571776,0.04232173487090639,0.0031200408935546874,0.006240081787109375,0.1,"(25,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 40}",0.8818681318681318,0.8784530386740331,0.924791086350975,0.9159663865546218,0.8760563380281691,0.8953811908736784,0.020626939272887345,226,0.944870900209351,0.9574912891986063,0.9791376912378303,0.9284722222222223,0.9791955617198336,0.9578335329175687,0.019699933906100073
9,0.24335999488830568,0.032122235922102206,0.0,0.0,0.1,"(25,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 45}",0.9065934065934066,0.8729281767955801,0.924791086350975,0.9467787114845938,0.8732394366197183,0.9048414023372288,0.028844162730221463,167,0.9706908583391486,0.978397212543554,0.9840055632823366,0.9736111111111111,0.9639389736477115,0.9741287437847724,0.006807199193506387
10,0.21859993934631347,0.04820727684285123,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 50}",0.8763736263736264,0.8674033149171271,0.8997214484679665,0.9467787114845938,0.8619718309859155,0.8903728436282693,0.030900872896760797,255,0.9630146545708305,0.9804878048780488,0.9492350486787204,0.9611111111111111,0.9757281553398058,0.9659153549157035,0.011120924307381702
11,0.21528005599975586,0.03871825505289457,0.0,0.0,0.1,"(25,)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 55}",0.9258241758241759,0.8370165745856354,0.8885793871866295,0.9131652661064426,0.895774647887324,0.8920422927100723,0.030576117461454232,246,0.9790648988136776,0.9602787456445993,0.9645340751043116,0.94375,0.986130374479889,0.9667516188084957,0.014852899317943114
