,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.1419200897216797,0.20157235512260335,0.009359931945800782,0.007642352433445989,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 2}",0.7307030319078511,0.730667372881356,0.7307641372003708,0.7307641372003708,0.7307641372003708,0.7307325599872875,4.028095447578355e-05,505,0.7307399437179275,0.7307488578428127,0.7307246664680372,0.7307246664680372,0.7307246664680372,0.7307325601929703,1.0070377462007993e-05
1,1.4289599895477294,0.2756568962384565,0.01247997283935547,0.006239986419677735,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 3}",0.7307030319078511,0.730667372881356,0.7307641372003708,0.7307641372003708,0.7307641372003708,0.7307325599872875,4.028095447578355e-05,505,0.7307399437179275,0.7307488578428127,0.7307246664680372,0.7307246664680372,0.7307246664680372,0.7307325601929703,1.0070377462007993e-05
2,2.5708800315856934,0.3697430023049363,0.015600013732910156,9.5367431640625e-08,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 4}",0.8534357209056004,0.730667372881356,0.7307641372003708,0.7307641372003708,0.7895642961197192,0.7670427459081519,0.04884181276571153,466,0.8622082436682669,0.7307488578428127,0.7307246664680372,0.7307246664680372,0.7787929950011586,0.7666398858896625,0.05128153846374344
3,3.257280111312866,0.3394066184625543,0.012479925155639648,0.006239962580324957,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}",0.7307030319078511,0.8265360169491526,0.7307641372003708,0.7307641372003708,0.8400211892464574,0.7717569786535303,0.05041196734144747,436,0.7307399437179275,0.8341389127987817,0.7307246664680372,0.7307246664680372,0.8313966961300361,0.7715449771165639,0.04999575047262621
4,5.319599962234497,1.0573532091334295,0.015600156784057618,9.5367431640625e-08,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 6}",0.7803521779425394,0.730667372881356,0.7862534763607469,0.7726128989537809,0.7789696728910078,0.7697706446316013,0.02002744007891957,448,0.7813938089720245,0.7307488578428127,0.7813089681199722,0.7719071738338795,0.769358095805608,0.7669433809148594,0.018738722236814546
5,7.191600036621094,0.5768203274591872,0.02495999336242676,0.007642430300627834,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 7}",0.7639348603204025,0.7717161016949152,0.792345384717256,0.797377830750894,0.8091643490928354,0.7869060861274432,0.016692190620404404,343,0.763151796060255,0.7822286962855062,0.7869036978183864,0.7986890455854603,0.8036216770947131,0.7869189825688642,0.014173161689735541
6,6.564480018615723,1.691932023029578,0.028080081939697264,0.006239938736872875,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 8}",0.7630080762610884,0.7586069915254238,0.7904913256522315,0.7307641372003708,0.7792345384717256,0.7644207849992055,0.020334832103132777,479,0.7639794735970866,0.7691187181354697,0.7849836130698182,0.7307246664680372,0.770318138179892,0.7638249218900607,0.017964003697105636
7,5.636319971084594,1.174623708794726,0.03119997978210449,9.5367431640625e-08,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 9}",0.752548656163114,0.7711864406779662,0.7859886107800291,0.7307641372003708,0.7307641372003708,0.7542507548069284,0.021909342989587497,504,0.7565303757656017,0.7807720320466133,0.7849836130698182,0.7307246664680372,0.7307246664680372,0.7567470707636215,0.023361845361301162
8,7.645600128173828,1.890845270982936,0.03431997299194336,0.006239962578503043,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 10}",0.7694955646762875,0.730667372881356,0.7804264335849557,0.7625480068865051,0.7610912461925573,0.760845383759733,0.01656469902580135,490,0.7707995365005794,0.7307488578428127,0.7817393319429271,0.7628364286423677,0.7602211407951799,0.7612690591447735,0.01699940901668036
9,13.612560081481934,3.798855988403339,0.04991979598999023,0.006240034106126396,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 15}",0.8085528928902422,0.7975370762711864,0.8454509336511721,0.8498212157330155,0.8226724937094425,0.824805339265851,0.020318898882505154,300,0.8173481211719914,0.8047407799774879,0.8406991756877545,0.8498361306981825,0.8133214155659284,0.8251891246202689,0.017137650040918957
10,20.09904012680054,2.661921424648768,0.06863999366760254,0.007642469232731191,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 20}",0.7921355752681054,0.7974046610169492,0.8005562177195074,0.8630644947689048,0.8073102900278109,0.8120928015255046,0.02595371839302314,312,0.7922529382552558,0.7994438191087864,0.7990863044989572,0.8621842619260436,0.8011719137948158,0.8108278475167717,0.025858095623329375
