,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.30576000213623045,0.07680524343929397,0.0,0.0,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.21428571428571427,0.22099447513812154,0.22562674094707522,0.18207282913165265,0.2056338028169014,0.20979410127991097,0.015346762743933956,553,0.2421493370551291,0.2850174216027875,0.21279554937413073,0.20555555555555555,0.210124826629681,0.23112853804345673,0.02985532308368508
1,0.42119998931884767,0.1627191664757655,0.0,0.0,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 3}",0.17307692307692307,0.3425414364640884,0.4011142061281337,0.42016806722689076,0.23380281690140844,0.31385642737896496,0.09598288894922823,520,0.12909979064898813,0.36097560975609755,0.3991655076495132,0.45694444444444443,0.2656033287101248,0.3223577362418336,0.11495568906081617
2,0.574079942703247,0.1461413331106115,0.0,0.0,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 4}",0.48626373626373626,0.43646408839779005,0.5013927576601671,0.5910364145658263,0.48732394366197185,0.5002782415136339,0.05029844304324174,424,0.48150732728541523,0.5588850174216028,0.5299026425591099,0.5611111111111111,0.4576976421636616,0.51782074810818,0.04156862835591587
3,0.5460000514984131,0.21457787936128014,0.003119945526123047,0.006239891052246094,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.21428571428571427,0.13259668508287292,0.5348189415041783,0.5042016806722689,0.6140845070422535,0.3984418475236505,0.19034357477660693,495,0.25889741800418703,0.154006968641115,0.5841446453407511,0.5451388888888888,0.5631067961165048,0.4210589433982893,0.17876436392789252
4,0.6052800178527832,0.1926837174122388,0.0,0.0,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 6}",0.5906593406593407,0.5248618784530387,0.5236768802228412,0.20448179271708683,0.5492957746478874,0.4791318864774624,0.13890833883679302,445,0.5457083042568039,0.6202090592334495,0.5535465924895688,0.19375,0.5638002773925104,0.49540284667446655,0.1530755195117341
5,0.5678400993347168,0.35799878420331815,0.0,0.0,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 7}",0.5961538461538461,0.143646408839779,0.06128133704735376,0.16806722689075632,0.10140845070422536,0.21535893155258765,0.19534655736018716,548,0.5498953244940684,0.1470383275261324,0.1168289290681502,0.20625,0.10055478502080444,0.22411347322183112,0.16683537947458751
6,0.5803199768066406,0.2673751405774542,0.0,0.0,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 8}",0.1043956043956044,0.19889502762430938,0.1309192200557103,0.6750700280112045,0.6281690140845071,0.34557595993322204,0.25033263799343103,513,0.12491277041172366,0.2745644599303136,0.15159944367176634,0.6277777777777778,0.6484049930651873,0.3654518889713537,0.22835489560338443
7,0.7144800186157226,0.22507287120421646,0.0,0.0,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 9}",0.4807692307692308,0.5524861878453039,0.6601671309192201,0.6134453781512605,0.1295774647887324,0.48803561491374514,0.18781662918356506,430,0.5680390788555478,0.7017421602787457,0.6842837273991655,0.6298611111111111,0.14147018030513175,0.5450792515899404,0.2071407988975025
8,0.8579998970031738,0.5352414456505064,0.0,0.0,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.08791208791208792,0.5552486187845304,0.6350974930362117,0.17366946778711484,0.6816901408450704,0.4257095158597663,0.24661213551724154,477,0.09839497557571528,0.6759581881533101,0.7253129346314325,0.1638888888888889,0.6865464632454924,0.47002029009896784,0.2779532856673047
9,0.817440128326416,0.0902106515840933,0.0,0.0,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.7005494505494505,0.08011049723756906,0.6573816155988857,0.7086834733893558,0.6816901408450704,0.5648302726766834,0.24409393367432075,366,0.7376133984647593,0.110801393728223,0.758692628650904,0.7125,0.6920943134535368,0.6023403468594847,0.24679801484483957
10,0.9921599864959717,0.6264598998583137,0.0,0.0,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 20}",0.7087912087912088,0.6187845303867403,0.6824512534818942,0.21288515406162464,0.10140845070422536,0.46688925987757374,0.2549305782122086,451,0.7969295184926727,0.7170731707317073,0.7892906815020863,0.22847222222222222,0.11373092926490985,0.5290993044427197,0.2958629007915615
11,1.0857600212097167,0.08691309063730161,0.0,0.0,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 25}",0.6868131868131868,0.643646408839779,0.6740947075208914,0.6218487394957983,0.5830985915492958,0.6421814134668893,0.037136714895263885,257,0.7404047452896022,0.7679442508710801,0.758692628650904,0.69375,0.6525658807212206,0.7226715011065614,0.04338862220889764
