,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.20592002868652343,0.03181790603417118,0.006240034103393554,0.007642449765811761,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 2}",0.1978021978021978,0.17955801104972377,0.1977715877437326,0.18487394957983194,0.2056338028169014,0.1930996104618809,0.009500465308738569,544,0.19818562456385205,0.19790940766550522,0.1995827538247566,0.19583333333333333,0.20110957004160887,0.1985241378858112,0.001762840933888178
1,0.24335994720458984,0.05457759095644324,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 3}",0.31043956043956045,0.27900552486187846,0.2646239554317549,0.23529411764705882,0.24225352112676057,0.26655537006121316,0.027071809808245872,529,0.29518492672714586,0.29686411149825787,0.2858136300417246,0.2743055555555556,0.2579750346740638,0.28202865169934954,0.014461861617023527
2,0.2964001178741455,0.022061683559536586,0.0,0.0,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 4}",0.31043956043956045,0.1712707182320442,0.3426183844011142,0.3697478991596639,0.36056338028169016,0.3105175292153589,0.07282582343445873,501,0.3258897418004187,0.18327526132404182,0.35396383866481224,0.3819444444444444,0.3779472954230236,0.32460411633134817,0.07344508066541304
3,0.37440004348754885,0.09202674817656194,0.0,0.0,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}",0.17582417582417584,0.3287292817679558,0.40668523676880225,0.40336134453781514,0.38028169014084506,0.33834168057874237,0.08653953372320757,460,0.24842986741102582,0.3519163763066202,0.41655076495132126,0.40625,0.369625520110957,0.35855450575598485,0.05988738488843217
4,0.44616012573242186,0.09391141358345728,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 6}",0.4340659340659341,0.4088397790055249,0.5236768802228412,0.35294117647058826,0.4619718309859155,0.43628269337785197,0.05646956752706028,362,0.4263782274947662,0.4445993031358885,0.5097357440890126,0.37083333333333335,0.4736477115117892,0.445038863912958,0.046602630396277434
5,0.5023200511932373,0.07855958455866964,0.0,0.0,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 7}",0.4175824175824176,0.47790055248618785,0.5738161559888579,0.4957983193277311,0.5830985915492958,0.5091819699499165,0.06201791102283193,294,0.4528960223307746,0.4745644599303136,0.5841446453407511,0.475,0.5859916782246879,0.5145193611653054,0.058157686045914266
6,0.4991999626159668,0.08934310890549597,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 8}",0.554945054945055,0.6602209944751382,0.46518105849582175,0.5294117647058824,0.5014084507042254,0.5425709515859767,0.06621916657653784,278,0.5408234473133287,0.6822299651567945,0.5118219749652295,0.5201388888888889,0.4791955617198336,0.5468419676088151,0.07054306910558264
7,0.5990399360656739,0.1438587258004224,0.0031200408935546874,0.006240081787109375,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 9}",0.6401098901098901,0.6243093922651933,0.5069637883008357,0.5714285714285714,0.49577464788732395,0.5681691708402894,0.058899099227321186,236,0.6810886252616888,0.6696864111498257,0.5521557719054242,0.55,0.5319001386962552,0.5969661894026388,0.06451697805016121
8,0.6083999633789062,0.1515691459348035,0.0,0.0,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 10}",0.6620879120879121,0.649171270718232,0.6406685236768802,0.6750700280112045,0.504225352112676,0.6265998887033946,0.06182593538565333,196,0.6636427076064201,0.7031358885017421,0.6641168289290682,0.6076388888888888,0.5180305131761442,0.6313129654204527,0.06430118794695816
9,0.6645600318908691,0.06439614681333258,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 15}",0.7005494505494505,0.7071823204419889,0.8022284122562674,0.8123249299719888,0.8028169014084507,0.7646076794657763,0.050189743814654644,24,0.73831123517097,0.797212543554007,0.8289290681502086,0.7347222222222223,0.7586685159500693,0.7715687170094954,0.03627107714571743
10,0.7019999980926513,0.11673968579497317,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 20}",0.7939560439560439,0.6685082872928176,0.7409470752089137,0.773109243697479,0.8028169014084507,0.7557039510294936,0.04868457124994262,81,0.8046057222609909,0.8132404181184669,0.8463143254520167,0.7541666666666667,0.811373092926491,0.8059400450849263,0.02964847078915466
