,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.14660000801086426,0.02696369359804165,0.0006000518798828125,0.0004899403160383116,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 2}",0.33516483516483514,0.32320441988950277,0.28133704735376047,0.4005602240896359,0.2676056338028169,0.32164718976071227,0.04664981236884673,362,0.3712491277041172,0.375609756097561,0.3463143254520167,0.34375,0.3522884882108183,0.3578423394929027,0.013097766734198987
1,0.1947999954223633,0.012623828518958843,0.0007999897003173828,0.0003999948608169695,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 5}",0.5357142857142857,0.49171270718232046,0.49025069637883006,0.49299719887955185,0.4732394366197183,0.4969393433500278,0.020809559930545087,335,0.5324494068387997,0.5337979094076655,0.5333796940194715,0.5513888888888889,0.5603328710124826,0.5422697540334616,0.011460186324392356
2,0.2388000011444092,0.06229742536302495,0.0007999897003173828,0.0003999948608169695,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 10}",0.7664835164835165,0.6878453038674033,0.7437325905292479,0.7366946778711485,0.7464788732394366,0.7362270450751253,0.026249567263209143,305,0.7620376831821354,0.7763066202090593,0.7719054242002782,0.7715277777777778,0.8425797503467406,0.7848714511431983,0.029227235787063995
3,0.209799861907959,0.01774706262935348,0.0010000228881835937,1.1680077279964343e-07,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 15}",0.7912087912087912,0.7458563535911602,0.7604456824512534,0.7815126050420168,0.6957746478873239,0.755147468002226,0.033479862158874066,293,0.8297278436845779,0.8306620209059233,0.8407510431154381,0.8048611111111111,0.834257975034674,0.828051998770345,0.012224711128039235
4,0.2689999580383301,0.06360183450587567,0.0007999897003173828,0.0003999948608169695,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 20}",0.8791208791208791,0.7651933701657458,0.7688022284122563,0.8711484593837535,0.8056338028169014,0.8180300500834724,0.04892230190438687,230,0.9239357990230286,0.8954703832752613,0.8428372739916551,0.8944444444444445,0.8786407766990292,0.8870657354866838,0.026501402877200278
5,0.2624000072479248,0.03520569009742832,0.0007999420166015625,0.0003999710083007812,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 25}",0.8324175824175825,0.7458563535911602,0.8105849582172702,0.8487394957983193,0.7746478873239436,0.8024485253199778,0.03766581602301837,258,0.9085833914863922,0.8885017421602788,0.8880389429763561,0.8638888888888889,0.9098474341192788,0.8917720799262391,0.01680144272728857
6,0.22760000228881835,0.045354515274967075,0.0008000373840332031,0.000400018706226792,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 30}",0.8571428571428571,0.7845303867403315,0.7827298050139275,0.876750700280112,0.8253521126760563,0.8252643294379521,0.03779108224250023,226,0.9099790648988136,0.8829268292682927,0.9102920723226704,0.9034722222222222,0.9479889042995839,0.9109318186023165,0.021045045122542193
7,0.1977999687194824,0.056072865831109896,0.0007999420166015625,0.00039997100830078123,0.1,"(25,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 35}",0.8021978021978022,0.7154696132596685,0.7966573816155988,0.8851540616246498,0.8056338028169014,0.8007790762381747,0.053748003238983016,259,0.8736915561758548,0.8766550522648083,0.8616133518776078,0.8847222222222222,0.9535367545076283,0.8900437874096243,0.03260251305219533
8,0.246199893951416,0.049628320492223335,0.0010001182556152344,1.784161275279017e-07,0.1,"(25,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 40}",0.8351648351648352,0.8591160220994475,0.841225626740947,0.907563025210084,0.8422535211267606,0.8569838619922092,0.02642075915000552,165,0.9106769016050245,0.9533101045296167,0.9186369958275382,0.9472222222222222,0.9382801664355063,0.9336252781239814,0.016403132967071507
9,0.25860004425048827,0.03923562468901311,0.0009999275207519531,0.0,0.1,"(25,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 45}",0.9148351648351648,0.8453038674033149,0.8885793871866295,0.8851540616246498,0.8507042253521127,0.8770172509738453,0.025863924368784104,123,0.9469644103279833,0.9644599303135889,0.9568845618915159,0.9277777777777778,0.9722607489597781,0.9536694858541288,0.015412618559768781
10,0.24940004348754882,0.03776554497219163,0.0007999897003173828,0.0003999948608169695,0.1,"(25,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 50}",0.8763736263736264,0.8674033149171271,0.883008356545961,0.8907563025210085,0.8704225352112676,0.8775737340011129,0.008464985146740623,118,0.9427773900907188,0.9609756097560975,0.9304589707927677,0.9451388888888889,0.9743411927877947,0.9507384104632536,0.015283191704638412
