,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.5615198612213135,0.5422341547544993,0.0031200408935546874,0.006240081787109375,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.9281080365417714,0.9326006355932204,0.9392133492252682,0.9335187392398357,0.930870083432658,0.9328619100587955,0.003671724220272084,549,0.9356729018374441,0.9335893531086539,0.9316714668785381,0.9334260270798159,0.9325652994339061,0.9333850096676717,0.0013331198751807185
1,1.8220799922943116,0.27808282001493334,0.009359931945800782,0.007642352431958399,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 3}",0.928505229710049,0.933792372881356,0.9352403655145014,0.9306052178519402,0.9303403522712224,0.9316965940992638,0.0024562893748782634,560,0.9335540473431551,0.933688671124942,0.9303141655907571,0.9310755785082928,0.9312742079650412,0.9319813341064377,0.0013775556658658125
2,2.779919958114624,0.4858993020345314,0.006240034103393554,0.007642449765811761,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 4}",0.932477161392824,0.9351165254237288,0.9404052443384983,0.9353727983048603,0.9355052310952192,0.9357751999576249,0.0025683983075306237,505,0.9370965072007945,0.9351784413692644,0.9355778461945906,0.9364385738405006,0.9360082100175456,0.9360599157245393,0.0006678271345604661
3,4.80792007446289,0.6244990145079866,0.0,0.0,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.9492916721832384,0.951271186440678,0.9562971791815653,0.9521917626804397,0.9446430936299828,0.9507389162561576,0.0038088517551568635,299,0.9500082767753684,0.951665232073098,0.9504419505412652,0.9522296156520011,0.9521303009236269,0.9512950751930719,0.0009046165867937808
4,4.723680019378662,0.7256531872792207,0.009360122680664062,0.007642508165826269,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 6}",0.9487620812922017,0.9429290254237288,0.9537809561647463,0.9484836445503907,0.9490133757118262,0.9485936755124742,0.0034412878062959093,367,0.9512332395298791,0.9437197907700456,0.9483894461548648,0.9461052074022578,0.9540172807627371,0.9486929929239569,0.0036420436027068998
5,5.893680143356323,1.0501662560535703,0.0031200408935546874,0.006240081787109375,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 7}",0.950483251688071,0.9423993644067796,0.9532512250033108,0.9537809561647463,0.9402728115481394,0.9480375019863341,0.005625372875267386,385,0.9511008111239861,0.9445474409057804,0.9479921872413679,0.9523620352898334,0.9455093190320124,0.9483023587185961,0.0030433203756885354
6,5.322720050811768,0.3940845382632307,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 8}",0.9442605587183901,0.9431938559322034,0.9491458085021851,0.9483512117600318,0.9414647066613694,0.945283118809259,0.00297730814945346,494,0.9459361032941566,0.9449116069655036,0.9442513324726057,0.947164564504916,0.948025292150826,0.9460577798776015,0.0013919659851412002
7,6.411600065231323,1.1659370234476274,0.006240034103393554,0.007642449765811761,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 9}",0.9422745928770025,0.9450476694915254,0.9549728512779764,0.9472917494371607,0.9462322871142895,0.9471635150166852,0.004248469767568739,428,0.945240854163218,0.9452426670197974,0.9515675174628397,0.9465686761346708,0.9494488032575231,0.9476137036076098,0.002503778989152714
8,6.598800086975098,0.9332398754818695,0.009360027313232423,0.007642430299140261,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.9430689792135575,0.9488877118644068,0.9532512250033108,0.9454376903721361,0.940670109919216,0.9462630435934106,0.0044245578745498206,472,0.9464658169177289,0.9498444017744819,0.9478597676035356,0.9441520177442315,0.9458734730360513,0.9468390954152058,0.0019165483481919632
9,7.241520118713379,0.4527119085612002,0.009359979629516601,0.007642391366541051,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.9433337746590759,0.9449152542372882,0.9507350019864919,0.9474241822275196,0.9435836313071116,0.9459981990571534,0.002777472412274746,486,0.9460685317000497,0.9457392571012382,0.9464362564968385,0.9473962988711225,0.9457741583076771,0.9462829004953852,0.000610490743622474
10,9.52223997116089,1.0081800721014025,0.009359979629516601,0.007642391366541051,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 20}",0.9435985701045942,0.9417372881355932,0.9509998675672097,0.9478214805985962,0.945570123162495,0.9459452301499021,0.0032380119747457345,489,0.9473928157589803,0.94348804873204,0.9453768993941801,0.9463700466779223,0.9474294037805807,0.9460114428687406,0.0014708884588300831
