,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.27455992698669435,0.05276389262411646,0.0,0.0,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.27472527472527475,0.24861878453038674,0.181058495821727,0.2549019607843137,0.23943661971830985,0.23984418475236505,0.03158199253611092,553,0.2435450104675506,0.22926829268292684,0.1905424200278164,0.22708333333333333,0.2593619972260749,0.2299602107475404,0.0228540115999384
1,0.5491200447082519,0.15518672940648956,0.0,0.0,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 3}",0.4532967032967033,0.4143646408839779,0.49025069637883006,0.5322128851540616,0.24225352112676057,0.4268224819143016,0.09956550601123647,523,0.43265875785066293,0.45574912891986064,0.53894297635605,0.48125,0.24965325936199723,0.43165082449771414,0.09764890371314439
2,0.48672003746032716,0.05528658737448504,0.0,0.0,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 4}",0.5934065934065934,0.5580110497237569,0.6128133704735376,0.6694677871148459,0.4225352112676056,0.5715080690038954,0.08225161143487542,490,0.6280530355896721,0.597212543554007,0.586230876216968,0.6138888888888889,0.5339805825242718,0.5918731853547616,0.03226630014736195
3,0.46488003730773925,0.13685390371671613,0.0031200408935546874,0.006240081787109375,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.6071428571428571,0.09944751381215469,0.6350974930362117,0.7310924369747899,0.6309859154929578,0.5397885364496383,0.22518402923908937,502,0.6587578506629449,0.10034843205574913,0.6502086230876217,0.6694444444444444,0.6421636615811374,0.5441846023663796,0.2221029456595128
4,0.5647200107574463,0.08956090118490058,0.003119945526123047,0.006239891052246094,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 6}",0.6758241758241759,0.6795580110497238,0.6239554317548747,0.680672268907563,0.6873239436619718,0.669449081803005,0.02303118875787955,456,0.7013258897418004,0.7365853658536585,0.6189151599443672,0.6458333333333334,0.753120665742025,0.691156082923037,0.05153592305457181
5,0.686400032043457,0.11839548075705895,0.0,0.0,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 7}",0.6813186813186813,0.7016574585635359,0.7214484679665738,0.7170868347338936,0.7464788732394366,0.7134112409571508,0.02163465601756206,400,0.6880669923237962,0.7630662020905923,0.760778859527121,0.6784722222222223,0.7995839112343966,0.7379936374796257,0.04685430702053497
6,0.7519200325012207,0.13897137438621435,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 8}",0.7087912087912088,0.6988950276243094,0.7938718662952646,0.7591036414565826,0.7380281690140845,0.7395659432387313,0.03450407300066754,374,0.7815771109560363,0.786759581881533,0.7878998609179416,0.7111111111111111,0.8169209431345353,0.7768537216002316,0.03512812760210438
7,0.6708001136779785,0.1837889797776785,0.0,0.0,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 9}",0.7582417582417582,0.7541436464088398,0.18662952646239556,0.8235294117647058,0.7154929577464789,0.6477462437395659,0.2329749409512476,463,0.8039078855547802,0.8320557491289199,0.13977746870653684,0.7944444444444444,0.8085991678224688,0.67575694313143,0.2682758868902719
8,0.7332001209259034,0.08988634775891381,0.0,0.0,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.7994505494505495,0.7320441988950276,0.7520891364902507,0.7927170868347339,0.752112676056338,0.7657206455203116,0.026027053420028482,345,0.7976273551988835,0.818815331010453,0.7760778859527121,0.7673611111111112,0.7961165048543689,0.7911996376255057,0.018028091289495562
9,0.8236800193786621,0.10032622774181757,0.0,0.0,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.7939560439560439,0.8011049723756906,0.8467966573816156,0.8879551820728291,0.7887323943661971,0.8235948803561491,0.038084073214382765,226,0.8108862526168876,0.8480836236933798,0.8838664812239221,0.8597222222222223,0.8765603328710125,0.855823782525485,0.025732807680567314
10,0.686400032043457,0.20291990414069372,0.0,0.0,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 20}",0.8214285714285714,0.19613259668508287,0.10027855153203342,0.876750700280112,0.7746478873239436,0.5531441291040623,0.33425176112617266,499,0.801814375436148,0.19233449477351916,0.11613351877607789,0.8479166666666667,0.869625520110957,0.5655649151526737,0.337425161272916
11,0.8954400539398193,0.05546230902661278,0.0,0.0,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 25}",0.8571428571428571,0.8066298342541437,0.8105849582172702,0.8795518207282913,0.7661971830985915,0.8241513633834168,0.039904185555609005,224,0.8646196789951152,0.8982578397212544,0.8616133518776078,0.8819444444444444,0.8599167822468793,0.8732704194570602,0.0147556907176466
