,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4151599407196045,0.08825350293591122,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 2}",0.25274725274725274,0.31215469613259667,0.3816155988857939,0.32212885154061627,0.37183098591549296,0.32776850306065664,0.04645726567368265,363,0.2526168876482903,0.2975609756097561,0.3894297635605007,0.35555555555555557,0.3786407766990291,0.33476079181462637,0.05191920465802998
1,0.4555201053619385,0.0333124652392876,0.003119945526123047,0.006239891052246094,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 5}",0.6565934065934066,0.5939226519337016,0.6239554317548747,0.6302521008403361,0.6732394366197183,0.6355036171396773,0.027419415215126017,336,0.6817864619678995,0.6668989547038328,0.6828929068150209,0.7076388888888889,0.6740638002773925,0.682656202530607,0.013762756488410242
2,0.45240001678466796,0.05126687941543213,0.006240034103393554,0.007642449765811761,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 10}",0.8269230769230769,0.7071823204419889,0.7409470752089137,0.7787114845938375,0.8169014084507042,0.7740678909293267,0.045309834724878345,305,0.8360083740404746,0.8132404181184669,0.8025034770514604,0.8576388888888888,0.8432732316227461,0.8305328779444073,0.02005846444730432
3,0.49315991401672366,0.0805729606064964,0.006240034103393554,0.007642449765811762,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 15}",0.8434065934065934,0.8121546961325967,0.7827298050139275,0.8879551820728291,0.8507042253521127,0.8352810239287701,0.03565143739526367,280,0.9043963712491278,0.9177700348432056,0.8463143254520167,0.9145833333333333,0.9389736477115118,0.9044075425178392,0.031150411046983732
4,0.49003992080688474,0.02867653570448505,0.006239986419677735,0.007642391366541051,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 20}",0.8351648351648352,0.7983425414364641,0.883008356545961,0.896358543417367,0.8873239436619719,0.8597662771285476,0.03750445251838107,267,0.9218422889043963,0.9365853658536586,0.9276773296244785,0.9361111111111111,0.9375866851595007,0.931960556130629,0.006180528463395204
5,0.4555200099945068,0.043456541895465634,0.0,0.0,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 25}",0.8873626373626373,0.8093922651933702,0.9387186629526463,0.907563025210084,0.856338028169014,0.8797996661101837,0.04433496465263392,240,0.9399860432658758,0.8926829268292683,0.954798331015299,0.9493055555555555,0.9535367545076283,0.9380619222347255,0.023276393916366128
6,0.46487994194030763,0.03611661492004152,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 30}",0.9120879120879121,0.7817679558011049,0.9136490250696379,0.9159663865546218,0.8394366197183099,0.8725653867557039,0.05390170764392156,256,0.95324494068388,0.9121951219512195,0.9443671766342142,0.9520833333333333,0.9389736477115118,0.9401728440628319,0.014929989262526122
7,0.44615998268127444,0.030569565460213877,0.006239986419677735,0.007642391365053469,0.1,"(25,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 35}",0.9148351648351648,0.9088397790055248,0.9164345403899722,0.9159663865546218,0.856338028169014,0.902615470228158,0.02312335635871187,169,0.9232379623168179,0.9742160278745644,0.9471488178025035,0.9458333333333333,0.9597780859916782,0.9500428454637795,0.016874328460735822
8,0.4964799404144287,0.06325809501234421,0.006239986419677735,0.007642391366541052,0.1,"(25,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 40}",0.9038461538461539,0.8397790055248618,0.8913649025069638,0.9495798319327731,0.8873239436619719,0.894268224819143,0.03515241550485622,192,0.9469644103279833,0.9547038327526133,0.9687065368567455,0.9743055555555555,0.984743411927878,0.965884749484155,0.013546318620029339
9,0.4276399612426758,0.05982626656587355,0.006240034103393554,0.007642449765811761,0.1,"(25,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 45}",0.8873626373626373,0.7845303867403315,0.9303621169916435,0.938375350140056,0.8704225352112676,0.8820255982192543,0.05517938206881761,231,0.9651081646894627,0.8745644599303136,0.9763560500695411,0.9458333333333333,0.9736477115117892,0.947101943906888,0.03781005275431163
10,0.47132000923156736,0.017815657377204613,0.0031200408935546874,0.006240081787109375,0.1,"(25,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 50}",0.9203296703296703,0.8784530386740331,0.9220055710306406,0.9439775910364145,0.8507042253521127,0.9031719532554258,0.03358884241813827,164,0.9665038381018841,0.9735191637630662,0.9645340751043116,0.9673611111111111,0.9667128987517337,0.9677262173664214,0.0030463856760055254
