,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
13,6.10580005645752,0.7979366116795674,0.01247997283935547,0.006239986419677735,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 8}",0.9561763537667152,0.9589512711864406,0.9623890875380744,0.9634485498609455,0.9540458217454642,0.9590020657873828,0.00357188372715608,72,0.958053302433372,0.9622591538105012,0.9611017313867647,0.9601416890124805,0.958519548449035,0.9600150850184306,0.0015695791911278206
14,2.6307599544525146,0.1255475300446738,0.009360074996948242,0.007642469232731191,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 2}",0.9363166953528399,0.9382944915254238,0.9429214673553171,0.9353727983048603,0.9382863196927559,0.938238254144817,0.002601517780391327,182,0.9403741102466479,0.9392173740316493,0.9368689376634555,0.9386566027741914,0.9375641407620751,0.9385362330956039,0.0012313465653160404
15,3.233519983291626,0.5083007819858746,0.006239986419677735,0.007642391365053469,0.1,"(25, 25)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 3}",0.9365814907983583,0.9382944915254238,0.9422593034035227,0.938153886902397,0.939345782015627,0.9389268499390857,0.0018856779096758367,153,0.9399768250289687,0.940045024167384,0.9365709934783328,0.9381600291323203,0.9395173304201013,0.9388540404454215,0.0013276291797175077
16,2.7146000385284426,0.20121878992118308,0.009359979629516601,0.007642391366541051,0.1,"(25, 25)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 4}",0.9364490930755991,0.9378972457627118,0.9435836313071116,0.9364322606277314,0.9398755131770626,0.9388473965782086,0.0026823592420229933,156,0.9397781824201291,0.9395153280805139,0.9376634554904493,0.9395504353295594,0.9386566027741914,0.9390328008189686,0.0007839647152352535
17,4.891240072250366,0.760883161336168,0.009360074996948242,0.007642469232731191,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 5}",0.951277638024626,0.9594809322033898,0.9598728645212554,0.9590782677791021,0.9544431201165409,0.9568303405900737,0.003402104943283257,89,0.9559675550405562,0.956995298947229,0.9577250306220413,0.9589168073625318,0.9592809613665707,0.9577771306677858,0.0012205661754983955
18,6.963720035552979,0.8378672542218125,0.009359979629516601,0.007642391365053469,0.1,"(25, 25)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 6}",0.9602806831722495,0.962791313559322,0.9664945040392001,0.9688782942656602,0.9635809826513044,0.96440489432703,0.0029890020800768646,46,0.9644429730177123,0.9643448321525525,0.9651405303406495,0.9669944052703016,0.9661667825338498,0.9654179046630131,0.0010222607368603712
19,5.4462000846862795,0.4660555627931321,0.015599918365478516,1.784161275279017e-07,0.1,"(25, 25)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 7}",0.9625314444591553,0.9615995762711864,0.9658323400874056,0.9635809826513044,0.9602701628923321,0.9627628582022353,0.0018820276241713913,59,0.9645754014236053,0.9647752102231345,0.9640480683285331,0.9627569768596683,0.962194193398881,0.9636699700467645,0.001019391329218456
20,6.1207200050354,0.5351421709117993,0.012480068206787109,0.006240034104304502,0.1,"(25, 25)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 8}",0.9610750695088045,0.964115466101695,0.9637134154416633,0.9647728777645345,0.9582836710369488,0.9623920758514752,0.0024081642200875545,60,0.965270650554544,0.9661656624511686,0.9632204455920813,0.9638163339623266,0.9624921375840038,0.9641930460288248,0.00134412798436857
21,4.222960042953491,1.0349016806331557,0.015599966049194336,2.132480599880018e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.9363166953528399,0.9381620762711864,0.9421268706131638,0.9385511852734737,0.9380214541120382,0.9386355209492028,0.0019065584051335311,173,0.9387187551729846,0.9400781301728134,0.936637203297249,0.939815274605224,0.9395173304201013,0.9389533387336744,0.001244643616252814
22,3.6132000923156737,0.2990574339087211,0.009359931945800782,0.007642352431958399,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.9353899112935258,0.9380296610169492,0.941862005032446,0.9370944245795259,0.9377565885313204,0.9380263785158112,0.002126234731848742,188,0.938520112564145,0.9398463881348077,0.9366040983877909,0.9385903929552752,0.9378620849471977,0.9382846153978432,0.0010574272849410186
23,3.9915600776672364,0.8625366010994632,0.015599966049194336,1.5078914929239175e-07,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.9343307295114524,0.938426906779661,0.9421268706131638,0.9394782148059859,0.9389484836445504,0.9386620054028285,0.002512817074612537,172,0.9385532196656182,0.9396808581076608,0.9363723640215844,0.9399807991525143,0.9392193862349787,0.9387613254364713,0.0012878603050264844
24,5.665760040283203,0.9085875452532273,0.01268010139465332,0.0063518694059577635,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.9541903879253277,0.957229872881356,0.9613296252152033,0.9578863726658721,0.9528539266322341,0.9566979183219451,0.002973559445007703,91,0.9579870882304254,0.9567635569092233,0.956698778428841,0.957162247161254,0.9578243453504155,0.9572872032160319,0.0005318691392332157
25,7.603320074081421,2.139317792911442,0.012480020523071289,0.006240010264040759,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.9631934330729511,0.9594809322033898,0.9660972056681234,0.9684809958945835,0.9623890875380744,0.963928174161767,0.0031022061604196773,54,0.9652375434530707,0.9616301397073429,0.9632866554109974,0.9673254543648823,0.9653060548879399,0.9645571695648467,0.0019426192931647351
26,7.798079967498779,1.4750653310611157,0.015600156784057618,9.5367431640625e-08,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.9641202171322654,0.9594809322033898,0.965435041716329,0.9670242352006356,0.9637134154416633,0.9639546586153928,0.0025184839991588665,53,0.9665949346134746,0.9614977156856254,0.9637170192339524,0.9651736352501076,0.9696759029364055,0.965331841543913,0.002749526319403194
27,7.656160116195679,1.8429315050274033,0.015599918365478516,1.784161275279017e-07,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.9597510922812128,0.9604078389830508,0.9633161170705867,0.9687458614753013,0.9623890875380744,0.9629217649239896,0.0031853356699667636,58,0.962787617944049,0.9632192279679533,0.962624557221836,0.9671599298175919,0.968086867282418,0.9647756400467697,0.00235163225343856
28,4.768760013580322,0.9854347155018902,0.018720006942749022,0.006239962578503043,0.1,"(100, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 100), 'filter__n': 2}",0.9371110816893949,0.9386917372881356,0.9434511985167527,0.9374917229506026,0.9380214541120382,0.9389533343927114,0.0023106970938114838,152,0.9404734315510677,0.9399788121565252,0.9375972456715331,0.9376634554904493,0.9381931340417784,0.9387812157822708,0.0012078778672022941
29,4.715519952774048,0.9002945531295286,0.018720054626464845,0.006239938736872875,0.1,"(100, 100)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 100), 'filter__n': 3}",0.9371110816893949,0.9389565677966102,0.9435836313071116,0.9385511852734737,0.939345782015627,0.9395095079188517,0.002172627430012976,140,0.9408707167687469,0.9400781301728134,0.9376303505809912,0.9396828549673917,0.9395173304201013,0.9395558765820089,0.0010702161676331395
30,5.2461200714111325,0.46558851133304435,0.02184004783630371,0.007642410834204267,0.1,"(100, 100)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 100), 'filter__n': 4}",0.9363166953528399,0.9355137711864406,0.9429214673553171,0.9384187524831148,0.9392133492252682,0.9384766142274484,0.0025979319062828655,176,0.9402416818407549,0.9389856319936436,0.9359751051080876,0.9397159598768497,0.9395835402390175,0.9389003838116707,0.0015162763713327367
31,5.8355999946594235,0.8245272959184247,0.018720054626464845,0.006239938736872875,0.1,"(100, 100)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 100), 'filter__n': 5}",0.9553819674301602,0.9578919491525424,0.9611971924248444,0.9586809694080254,0.9553701496490531,0.9577043275597225,0.002192277489114947,82,0.9569938751862275,0.9564987088657882,0.9578574502598736,0.9572615618896282,0.9594464859138611,0.9576116164230758,0.001016846691167074
32,8.292240047454834,1.2752049454047332,0.015600061416625977,1.9073486328125e-07,0.1,"(100, 100)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 100), 'filter__n': 6}",0.9631934330729511,0.9634533898305084,0.9659647728777645,0.9678188319427891,0.9615944907959211,0.96440489432703,0.0022071760899030107,46,0.9662307564972686,0.9651724822882871,0.9622935081272552,0.9659350481676433,0.9636508094150362,0.9646565208990981,0.001481509419420704
33,10.80331997871399,4.492214890934421,0.015600061416625977,1.9073486328125e-07,0.1,"(100, 100)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 100), 'filter__n': 7}",0.9604130808950087,0.9602754237288136,0.9709972189114024,0.970335054959608,0.9622566547477155,0.9648551300386673,0.004800234711108538,40,0.9638470451911935,0.9633847579951003,0.9675571887310889,0.9694772734796571,0.9661336776243917,0.9660799886042863,0.0022793354984598645
34,8.17952003479004,1.5448306864479526,0.018720054626464845,0.006239938736872875,0.1,"(100, 100)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 100), 'filter__n': 8}",0.963855421686747,0.963718220338983,0.9633161170705867,0.9660972056681234,0.9618593563766389,0.9637692674400127,0.001362475326203628,56,0.9657010428736964,0.9660001324240217,0.9624259277650875,0.9652729499784818,0.9648425861555269,0.9648485278393629,0.001272959981997239
35,4.266639995574951,0.9486443248640389,0.01248016357421875,0.006240081787109375,0.1,"(25, 25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'filter__n': 2}",0.9365814907983583,0.9378972457627118,0.9427890345649583,0.9388160508541915,0.9396106475963448,0.9391387255680915,0.0020848269113038905,149,0.9405727528554875,0.9401774481891015,0.9384248684079849,0.9397821696957659,0.9396828549673917,0.9397280188231463,0.0007237037288539753
36,3.427560043334961,0.5455227108379884,0.006239986419677735,0.007642391365053469,0.1,"(25, 25, 25)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'filter__n': 3}",0.9339335363431749,0.9380296610169492,0.943053900145676,0.9386836180638326,0.9392133492252682,0.9385825520419514,0.002909381753118154,174,0.9376262208243669,0.9399788121565252,0.9382924487701526,0.9393187009633529,0.9391862813255206,0.9388804928079837,0.0008259337014052663
37,4.181400012969971,0.5237049496115552,0.012480068206787109,0.006240034106126396,0.1,"(25, 25, 25)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25, 25), 'filter__n': 4}",0.9369786839666358,0.9386917372881356,0.9439809296781884,0.9378890213216793,0.9390809164349093,0.9393241167434716,0.002437402729657535,145,0.9397781824201291,0.9395815400913726,0.9393187009633529,0.9399807991525143,0.9398814844241401,0.9397081414103017,0.00023536675362801916
