,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.07159996032714844,0.02458131068451294,0.0006000518798828125,0.0004899403160383116,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 2}",0.1978021978021978,0.19889502762430938,0.298050139275766,0.19607843137254902,0.10140845070422536,0.1986644407345576,0.06199500138002746,316,0.19469644103279832,0.19721254355400697,0.2760778859527121,0.20069444444444445,0.10124826629680998,0.19398591625615436,0.055489248559109174
1,0.04499998092651367,0.002280331955196587,0.0,0.0,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 5}",0.10164835164835165,0.10220994475138122,0.10027855153203342,0.10084033613445378,0.10140845070422536,0.10127991096271564,0.0006661181333437533,336,0.10118632240055828,0.10104529616724739,0.10152990264255911,0.10138888888888889,0.10124826629680998,0.10127973527921272,0.0001668389523822827
2,0.23420004844665526,0.11524487065158921,0.0005999565124511719,0.0004898624411217046,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 10}",0.22802197802197802,0.6325966850828729,0.37047353760445684,0.6834733893557423,0.6140845070422535,0.5047301057317752,0.17639052325667015,247,0.2826238660153524,0.6871080139372823,0.3776077885952712,0.6652777777777777,0.6775312066574203,0.5380297305966207,0.17253661468589668
3,0.0900001049041748,0.027158835941544765,0.00019998550415039061,0.0003999710083007812,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 15}",0.10164835164835165,0.10220994475138122,0.10027855153203342,0.10084033613445378,0.10140845070422536,0.10127991096271564,0.0006661181333437533,336,0.10048848569434753,0.10104529616724739,0.10152990264255911,0.10138888888888889,0.10124826629680998,0.10114016793797058,0.0003630787534692491
4,0.14100003242492676,0.0870952640311689,0.0007999897003173828,0.0003999948608169695,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 20}",0.7252747252747253,0.09944751381215469,0.10027855153203342,0.10084033613445378,0.10140845070422536,0.2270450751252087,0.2511068779673453,309,0.7487787857641311,0.10104529616724739,0.10083449235048679,0.10069444444444445,0.10055478502080444,0.23038156074942284,0.2591986631915254
5,0.2517998695373535,0.19327023302455326,0.0006000995635986328,0.000489979265096882,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 25}",0.0989010989010989,0.7845303867403315,0.10306406685236769,0.10084033613445378,0.7267605633802817,0.3622704507512521,0.3212704797151532,281,0.10048848569434753,0.8689895470383275,0.09944367176634214,0.09930555555555555,0.8370319001386962,0.4010518320386538,0.3691614681354444
6,0.234199857711792,0.15569390672640954,0.0006000995635986328,0.000489979265096882,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 30}",0.10164835164835165,0.5027624309392266,0.7576601671309192,0.8571428571428571,0.11267605633802817,0.4657762938230384,0.314980558277605,264,0.10188415910676901,0.6390243902439025,0.8143254520166898,0.8569444444444444,0.1144244105409154,0.5053205712705442,0.3324336995106118
7,0.24199995994567872,0.1385149682891709,0.0005999565124511719,0.0004898624411217046,0.1,"(25,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 35}",0.8626373626373627,0.5414364640883977,0.1977715877437326,0.37815126050420167,0.7971830985915493,0.5559265442404007,0.25000175951810233,236,0.8590369853454292,0.6153310104529617,0.19193324061196107,0.43125,0.9105409153952844,0.6016184303611272,0.26786295220734974
8,0.075600004196167,0.009666485966284912,0.0008000850677490235,0.00040004254453151935,0.1,"(25,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 40}",0.10164835164835165,0.10220994475138122,0.10027855153203342,0.10084033613445378,0.10140845070422536,0.10127991096271564,0.0006661181333437533,336,0.10118632240055828,0.10104529616724739,0.10152990264255911,0.10138888888888889,0.10124826629680998,0.10127973527921272,0.0001668389523822827
9,0.3481999397277832,0.07192891889342903,0.0007999420166015625,0.0003999710083007812,0.1,"(25,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 45}",0.8818681318681318,0.7071823204419889,0.8272980501392758,0.7983193277310925,0.7690140845070422,0.796883695047301,0.05850230279670253,152,0.8736915561758548,0.8620209059233449,0.8762169680111266,0.8451388888888889,0.8800277392510403,0.867419211650051,0.012659164886868973
10,0.2869997978210449,0.1341014123630721,0.0006000041961669922,0.0004899013824479931,0.1,"(25,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 50}",0.8241758241758241,0.7734806629834254,0.09749303621169916,0.8683473389355743,0.8450704225352113,0.6816917084028937,0.2935743383701145,204,0.8297278436845779,0.8543554006968641,0.09666203059805285,0.9215277777777777,0.9306518723994452,0.7265849850313435,0.3173051036136517
