,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.15911989212036132,0.036116717901115855,0.0031200408935546874,0.006240081787109375,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 2}",0.12362637362637363,0.17403314917127072,0.11420612813370473,0.09243697478991597,0.18591549295774648,0.13800779076238176,0.03581188918725226,557,0.1674808094905792,0.19094076655052264,0.11613351877607789,0.10208333333333333,0.17337031900138697,0.15000174943038,0.03455674277488863
1,0.2495999813079834,0.05667751752859889,0.0,0.0,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 3}",0.28296703296703296,0.2900552486187845,0.15041782729805014,0.13445378151260504,0.19154929577464788,0.21035058430717862,0.0654192460855122,525,0.26168876482903003,0.30452961672473866,0.19193324061196107,0.17291666666666666,0.19972260748959778,0.22615817926439882,0.04921249691833121
2,0.2901599407196045,0.040198389366009,0.0,0.0,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 4}",0.21703296703296704,0.281767955801105,0.3231197771587744,0.27450980392156865,0.18028169014084508,0.25542570951585974,0.05041518397604438,499,0.24284717376133985,0.29895470383275263,0.3379694019471488,0.3194444444444444,0.19972260748959778,0.2797876662950567,0.05118625474637955
3,0.37128000259399413,0.05870233967786806,0.0,0.0,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}",0.38186813186813184,0.36464088397790057,0.3064066852367688,0.36694677871148457,0.28732394366197184,0.34168057874234836,0.037315282829182235,470,0.39497557571528263,0.4682926829268293,0.3518776077885953,0.3861111111111111,0.28224687933425796,0.3767007713752152,0.06057941630855208
4,0.42744007110595705,0.10834990380201215,0.0031199932098388674,0.006239986419677735,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 6}",0.47527472527472525,0.494475138121547,0.4206128133704735,0.4789915966386555,0.3211267605633803,0.43850862548692265,0.06337445079317708,441,0.5157013258897418,0.556794425087108,0.47426981919332406,0.46805555555555556,0.2947295423023578,0.46191013360561745,0.08948340548344075
5,0.4243199825286865,0.08846723742998344,0.006239986419677735,0.007642391365053469,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 7}",0.5082417582417582,0.5497237569060773,0.5431754874651811,0.5574229691876751,0.30704225352112674,0.4936004451864218,0.09409426647277166,411,0.5422191207257502,0.581184668989547,0.5785813630041725,0.5604166666666667,0.33079056865464634,0.5186384776081565,0.09496681133424627
6,0.41807994842529295,0.11814878413847331,0.009360074996948242,0.007642469232731191,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 8}",0.4368131868131868,0.574585635359116,0.5571030640668524,0.48739495798319327,0.4591549295774648,0.5030606566499721,0.054153393450957724,390,0.45987438939288205,0.6529616724738676,0.6620305980528511,0.5243055555555556,0.4604715672676838,0.551928756548568,0.08936613544256752
7,0.49920001029968264,0.10253372255662824,0.0,0.0,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 9}",0.5164835164835165,0.6160220994475138,0.5626740947075209,0.5742296918767507,0.43661971830985913,0.5414579855314413,0.06099946475807026,350,0.5526866713189114,0.659233449477352,0.6230876216968011,0.5347222222222222,0.45977808599167824,0.565901610141393,0.06984277109121557
8,0.5584799289703369,0.0943252440807193,0.0031200408935546874,0.006240081787109375,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 10}",0.489010989010989,0.6546961325966851,0.5543175487465181,0.6442577030812325,0.4676056338028169,0.562047857540345,0.0769826150764001,333,0.5359385903698535,0.686411149825784,0.6536856745479833,0.6416666666666667,0.4521497919556172,0.593970374673181,0.08702518703416477
9,0.6146399021148682,0.14949970529761494,0.009360122680664062,0.007642508165826269,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 15}",0.6978021978021978,0.6961325966850829,0.6768802228412256,0.6974789915966386,0.6929577464788732,0.6922648859209795,0.007874333406150161,286,0.7138869504535938,0.7881533101045296,0.778164116828929,0.6965277777777777,0.6962552011095701,0.7345974712548802,0.04028557407971593
10,0.5865599632263183,0.055462378769494745,0.0,0.0,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 20}",0.6648351648351648,0.8232044198895028,0.754874651810585,0.8403361344537815,0.828169014084507,0.781858653311074,0.0660819386175019,155,0.7306350314026517,0.889198606271777,0.8650904033379694,0.8319444444444445,0.8092926490984743,0.8252322269110633,0.054640873564965574
